Snapshot,Redshift,"Age
[Gyr]","Lookback
[Gyr]","Gas Cells
[#]","Stars
[#]","BHs
[#]","FoF
Groups [#]","Subfind
Groups [#]"
0,20.05,0.179,13.624,15624999994,4,0,10,10
1,14.99,0.271,13.532,15624991902,4119,0,12167,12218
2,11.98,0.37,13.433,15624633413,124698,7,265002,266304
3,10.98,0.418,13.385,15623835834,343298,74,621780,624732
4,10,0.475,13.328,15621625376,821487,381,1318085,1321052
5,9.39,0.517,13.286,15618656262,1365221,635,2016524,2017659
6,9,0.547,13.256,15615682562,1844148,1449,2600499,2598341
7,8.45,0.596,13.207,15609172826,2781421,3249,3659238,3646124
8,8.01,0.64,13.163,15601391985,3773385,4695,4706171,4678335
9,7.6,0.687,13.116,15590954344,5008647,9144,5888437,5839902
10,7.24,0.732,13.071,15579615552,6223213,12250,7055757,6978996
11,7.01,0.764,13.039,15570157496,7226385,16038,7872354,7776109
12,6.49,0.844,12.959,15542648055,10111309,33862,9880025,9727950
13,6.01,0.932,12.871,15506693865,13971981,51701,11957063,11737904
14,5.85,0.965,12.838,15492812145,15192240,62641,12689024,12099227
15,5.53,1.036,12.767,15466772845,18763782,74826,14095232,13384449
16,5.23,1.112,12.691,15440085522,23029261,103768,15424500,14622714
17,5,1.177,12.626,15417454887,27120621,119780,16419541,15597645
18,4.66,1.282,12.521,15382135781,34872704,156593,17785481,16777715
19,4.43,1.366,12.437,15357450603,40785612,175652,18689128,17479623
20,4.18,1.466,12.337,15329428227,48521012,218500,19546741,18089441
21,4.01,1.54,12.263,15310194837,54918781,240617,20047205,18363039
22,3.71,1.689,12.115,15275302591,68753587,286123,20753699,18826020
23,3.49,1.812,11.991,15248316142,81158408,334551,21113454,19206013
24,3.28,1.944,11.859,15220093132,95267416,355016,21357632,19182595
25,3.01,2.145,11.658,15182199492,117446107,427890,21522625,19381738
26,2.9,2.238,11.565,15165500252,127909509,449574,21539942,19376406
27,2.73,2.384,11.419,15140917032,144614880,466791,21514097,19312488
28,2.58,2.539,11.264,15115802724,163047675,511401,21450638,19262846
29,2.44,2.685,11.118,15094251543,179886490,527477,21373786,19209193
